source,sequence,type,actor,action,label,profile,start_utc,end_utc,start_utc_ns,end_utc_ns,event_wall_ms,status,code,response_chars,response_utf8_bytes,stdlib_import_ns,backend_import_ns,coordinator_ns,dispatch_ns,close_ns,serialize_ns,persist_ns,coverage_timings,consumed_delta
root-outer-events.json,0,,,,control_prepare,,2026-09-16T09:18:54.328000000Z,2026-09-16T09:19:07.170000000Z,1789550334328000000,1789550347170000000,12842.0,,,,,,,,,,,,{},{}
events.jsonl,0,settings,,,,,2026-09-16T09:19:03.564644600Z,2026-09-16T09:19:03.566646000Z,1789550343564644600,1789550343566646000,2.0014,,,,,,,,,,,,{},{}
events.jsonl,1,owner_metadata,,,,,2026-09-16T09:19:03.567646000Z,2026-09-16T09:19:04.405747400Z,1789550343567646000,1789550344405747400,838.1014,,,,,,,,,,,,{},{}
events.jsonl,2,call,main,reading-template,,False,2026-09-16T09:19:04.406749000Z,2026-09-16T09:19:04.436679000Z,1789550344406749000,1789550344436679000,29.93,ok,,2296,2320,20219600,18851900,227600,9239400,8300,31900,1365400,"{""/query/budget/wall_ms"": 300000}","{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,3,variant,,,,,2026-09-16T09:19:04.437679200Z,,1789550344437679200,,,,,,,,,,,,,,{},{}
events.jsonl,4,call,main,reading-start,,False,2026-09-16T09:19:04.438678400Z,2026-09-16T09:19:05.770985500Z,1789550344438678400,1789550345770985500,1332.3071,ok,,576,750,20219600,3500,332100,1328902600,11200,35200,2649800,{},"{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,5,call,main,reading-delegate,,False,2026-09-16T09:19:05.771491900Z,2026-09-16T09:19:07.077071200Z,1789550345771491900,1789550347077071200,1305.5793,ok,,2995,3871,20219600,8400,469300,1302966400,8100,54900,2542200,"{""/worker_brief/query/budget/wall_ms"": 300000}","{""wall_ms"": 1297, ""read_bytes"": 4226, ""output_chars"": 2638, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,0,,,,host_first_timestamp,,2026-09-16T09:20:05.701000000Z,2026-09-16T09:20:05.701000000Z,1789550405701000000,1789550405701000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,1,,,,read_required_contracts,,2026-09-16T09:20:11.727000000Z,2026-09-16T09:20:13.030000000Z,1789550411727000000,1789550413030000000,1303.0,,,,,,,,,,,,{},{}
reader-outer-events.json,2,,,,read_latency_driver_contract,,2026-09-16T09:20:21.094000000Z,2026-09-16T09:20:22.633000000Z,1789550421094000000,1789550422633000000,1539.0,,,,,,,,,,,,{},{}
reader-outer-events.json,3,,,,locate_latency_artifacts,,2026-09-16T09:20:28.568000000Z,2026-09-16T09:20:29.687000000Z,1789550428568000000,1789550429687000000,1119.0,,,,,,,,,,,,{},{}
reader-outer-events.json,4,,,,read_latency_driver_contract_corrected_path,,2026-09-16T09:20:34.681000000Z,2026-09-16T09:20:35.981000000Z,1789550434681000000,1789550435981000000,1300.0,,,,,,,,,,,,{},{}
reader-outer-events.json,5,,,,driver_mark_reader_started,,2026-09-16T09:20:43.281000000Z,2026-09-16T09:20:50.611000000Z,1789550443281000000,1789550450611000000,7330.0,,,,,,,,,,,,{},{}
events.jsonl,6,mark,reader,,reader_started,,2026-09-16T09:20:50.535082700Z,,1789550450535082700,,,,,,,,,,,,,,{},{}
reader-outer-events.json,6,,,,reading_view,,2026-09-16T09:20:56.868000000Z,2026-09-16T09:21:03.691000000Z,1789550456868000000,1789550463691000000,6823.0,,,,,,,,,,,,{},{}
events.jsonl,7,call,reader,reading-view,,False,2026-09-16T09:21:02.247670000Z,2026-09-16T09:21:03.606948200Z,1789550462247670000,1789550463606948200,1359.2782,ok,,997,1372,20919100,75746700,206900,1280830400,11000,32700,2248800,{},"{""wall_ms"": 1264, ""read_bytes"": 4235, ""output_chars"": 284, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,7,,,,locate_prepared_recall_request,,2026-09-16T09:21:09.253000000Z,2026-09-16T09:21:10.620000000Z,1789550469253000000,1789550470620000000,1367.0,,,,,,,,,,,,{},{}
reader-outer-events.json,8,,,,read_prepared_recall_request,,2026-09-16T09:21:16.174000000Z,2026-09-16T09:21:17.481000000Z,1789550476174000000,1789550477481000000,1307.0,,,,,,,,,,,,{},{}
reader-outer-events.json,9,,,,reading_recall,,2026-09-16T09:21:24.520000000Z,2026-09-16T09:21:40.017000000Z,1789550484520000000,1789550500017000000,15497.0,,,,,,,,,,,,{},{}
events.jsonl,8,call,reader,reading-recall,,False,2026-09-16T09:21:30.343853000Z,2026-09-16T09:22:37.855712300Z,1789550490343853000,1789550557855712300,67511.8593,rejected,BUDGET,505,589,20516300,81389500,231900,67427887700,14800,30600,2227300,{},"{""wall_ms"": 67280, ""read_bytes"": 6226816, ""output_chars"": 77032, ""candidates"": 36, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 1655, ""model_calls"": 11, ""model_input_tokens"": 1655, ""model_output_tokens"": 0, ""rerank_items"": 4}"
reader-outer-events.json,10,,,,poll_reading_recall_session_16033,,2026-09-16T09:21:47.085000000Z,2026-09-16T09:21:57.087000000Z,1789550507085000000,1789550517087000000,10002.0,,,,,,,,,,,,{},{}
reader-outer-events.json,11,,,,poll_reading_recall_session_16033_2,,2026-09-16T09:22:00.806000000Z,2026-09-16T09:22:10.824000000Z,1789550520806000000,1789550530824000000,10018.0,,,,,,,,,,,,{},{}
reader-outer-events.json,12,,,,poll_reading_recall_session_16033_3,,2026-09-16T09:22:15.074000000Z,2026-09-16T09:22:25.084000000Z,1789550535074000000,1789550545084000000,10010.0,,,,,,,,,,,,{},{}
reader-outer-events.json,13,,,,poll_reading_recall_session_16033_4_attempt,,2026-09-16T09:22:31.981000000Z,2026-09-16T09:22:31.981000000Z,1789550551981000000,1789550551981000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,14,,,,poll_reading_recall_session_16033_5,,2026-09-16T09:22:35.726000000Z,2026-09-16T09:22:38.590000000Z,1789550555726000000,1789550558590000000,2864.0,,,,,,,,,,,,{},{}
reader-outer-events.json,15,,,,driver_mark_reader_finished,,2026-09-16T09:22:48.495000000Z,2026-09-16T09:22:52.481000000Z,1789550568495000000,1789550572481000000,3986.0,,,,,,,,,,,,{},{}
events.jsonl,9,mark,reader,,reader_finished,,2026-09-16T09:22:52.406736200Z,,1789550572406736200,,,,,,,,,,,,,,{},{}
reader-outer-events.json,16,,,,prepare_reader_outer_events_json,,2026-09-16T09:23:02.047000000Z,2026-09-16T09:23:02.047000000Z,1789550582047000000,1789550582047000000,0.0,,,,,,,,,,,,{},{}
