source,sequence,type,actor,action,label,profile,start_utc,end_utc,start_utc_ns,end_utc_ns,event_wall_ms,status,code,response_chars,response_utf8_bytes,stdlib_import_ns,backend_import_ns,coordinator_ns,dispatch_ns,close_ns,serialize_ns,persist_ns,coverage_timings,consumed_delta
root-outer-events.json,0,,,,diagnostic_prepare,,2026-09-16T09:25:52.151000000Z,2026-09-16T09:26:00.367000000Z,1789550752151000000,1789550760367000000,8216.0,,,,,,,,,,,,{},{}
root-outer-events.json,1,,,,diagnostic_prepare_valid_limits,,2026-09-16T09:27:41.656000000Z,2026-09-16T09:27:53.694000000Z,1789550861656000000,1789550873694000000,12038.0,,,,,,,,,,,,{},{}
events.jsonl,0,settings,,,,,2026-09-16T09:27:50.125047800Z,2026-09-16T09:27:50.126060300Z,1789550870125047800,1789550870126060300,1.0125,,,,,,,,,,,,{},{}
events.jsonl,1,owner_metadata,,,,,2026-09-16T09:27:50.127059900Z,2026-09-16T09:27:50.966815000Z,1789550870127059900,1789550870966815000,839.7551,,,,,,,,,,,,{},{}
events.jsonl,2,call,main,reading-template,,False,2026-09-16T09:27:50.966815000Z,2026-09-16T09:27:50.996206300Z,1789550870966815000,1789550870996206300,29.3913,ok,,2296,2320,21413400,18885500,225200,8720500,8200,32500,1692400,"{""/query/budget/wall_ms"": 300000}","{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,3,variant,,,,,2026-09-16T09:27:50.998379800Z,,1789550870998379800,,,,,,,,,,,,,,{},{}
events.jsonl,4,call,main,reading-start,,False,2026-09-16T09:27:50.998379800Z,2026-09-16T09:27:52.293841400Z,1789550870998379800,1789550872293841400,1295.4616,ok,,576,750,21413400,2800,218900,1292142800,11200,27800,2593100,{},"{""wall_ms"": 0, ""read_bytes"": 0, ""output_chars"": 0, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
events.jsonl,5,call,main,reading-delegate,,False,2026-09-16T09:27:52.293841400Z,2026-09-16T09:27:53.572593600Z,1789550872293841400,1789550873572593600,1278.7522,ok,,2996,3872,21413400,3900,187000,1275148700,9800,55900,2578600,"{""/worker_brief/query/budget/wall_ms"": 300000}","{""wall_ms"": 1250, ""read_bytes"": 4227, ""output_chars"": 2639, ""candidates"": 0, ""graph_nodes"": 0, ""graph_edges"": 0, ""graph_hops"": 0, ""model_tokens"": 0, ""model_calls"": 0, ""model_input_tokens"": 0, ""model_output_tokens"": 0, ""rerank_items"": 0}"
reader-outer-events.json,0,,,,followup_received_and_host_start,,2026-09-16T09:28:24.193000000Z,2026-09-16T09:28:24.193000000Z,1789550904193000000,1789550904193000000,0.0,,,,,,,,,,,,{},{}
reader-outer-events.json,1,,,,driver_mark_reader_started,,2026-09-16T09:28:30.482000000Z,2026-09-16T09:28:34.668000000Z,1789550910482000000,1789550914668000000,4186.0,,,,,,,,,,,,{},{}
events.jsonl,6,mark,reader,,reader_started,,2026-09-16T09:28:34.599649300Z,,1789550914599649300,,,,,,,,,,,,,,{},{}
