run,action,profile,status,start_utc_ns,end_utc_ns,stdlib_import_ms,backend_import_ms,coordinator_ms,dispatch_ms,close_ms,serialize_ms,persist_ms,response_chars,figure_data_url_chars,markdown_chars
run-20260916t085438z-3e40d5ed8471,reading-template,False,ok,1789549676925470000,1789549676960377600,22.4126,22.7878,0.2387,10.1254,0.0118,0.0442,1.6551,2296,0,0
run-20260916t085438z-3e40d5ed8471,reading-start,False,ok,1789549676960911300,1789549678258533500,22.4126,0.0038,0.2072,1295.1076,0.0094,0.0242,2.2058,576,0,0
run-20260916t085438z-3e40d5ed8471,reading-delegate,False,ok,1789549678259053100,1789549679592691100,22.4126,0.0035,0.1809,1330.9444,0.0102,0.0817,2.4821,2995,0,0
run-20260916t085438z-3e40d5ed8471,reading-view,False,ok,1789549771392932500,1789549772866020100,22.3284,84.2079,0.2237,1383.7171,0.0191,0.0592,4.6419,997,0,199
run-20260916t085438z-3e40d5ed8471,reading-recall,False,rejected,1789549846659801700,1789549848166770200,25.661,78.8394,0.2485,1425.1391,0.0246,0.0411,2.8693,492,0,0
run-20260916t085438z-3e40d5ed8471,reading-recall,False,rejected,1789549992460223400,1789550072248338800,20.4419,79.2251,0.2541,79706.2783,0.0143,0.0308,2.8553,505,0,0
run-20260916t091635z-effbef761124,reading-template,False,ok,1789550344406749000,1789550344436679000,20.2196,18.8519,0.2276,9.2394,0.0083,0.0319,1.3654,2296,0,0
run-20260916t091635z-effbef761124,reading-start,False,ok,1789550344438678400,1789550345770985500,20.2196,0.0035,0.3321,1328.9026,0.0112,0.0352,2.6498,576,0,0
run-20260916t091635z-effbef761124,reading-delegate,False,ok,1789550345771491900,1789550347077071200,20.2196,0.0084,0.4693,1302.9664,0.0081,0.0549,2.5422,2995,0,0
run-20260916t091635z-effbef761124,reading-view,False,ok,1789550462247670000,1789550463606948200,20.9191,75.7467,0.2069,1280.8304,0.011,0.0327,2.2488,997,0,199
run-20260916t091635z-effbef761124,reading-recall,False,rejected,1789550490343853000,1789550557855712300,20.5163,81.3895,0.2319,67427.8877,0.0148,0.0306,2.2273,505,0,0
run-20260916t092432z-6976e1302de8,reading-template,False,ok,1789550870966815000,1789550870996206300,21.4134,18.8855,0.2252,8.7205,0.0082,0.0325,1.6924,2296,0,0
run-20260916t092432z-6976e1302de8,reading-start,False,ok,1789550870998379800,1789550872293841400,21.4134,0.0028,0.2189,1292.1428,0.0112,0.0278,2.5931,576,0,0
run-20260916t092432z-6976e1302de8,reading-delegate,False,ok,1789550872293841400,1789550873572593600,21.4134,0.0039,0.187,1275.1487,0.0098,0.0559,2.5786,2996,0,0
run-20260916t092432z-6976e1302de8,reading-view,False,ok,1789550925857585200,1789550927164972600,20.5463,73.4942,0.2961,1231.3112,0.0124,0.0348,1.9915,997,0,199
run-20260916t092432z-6976e1302de8,reading-recall,False,partial,1789550938305884500,1789550978337721200,20.5246,78.2125,0.2273,39947.2141,0.0152,1.5638,4.1801,355186,327792,2264
run-20260916t092432z-6976e1302de8,reading-read,False,ok,1789551008659587900,1789551017575669400,20.3674,80.3871,0.2268,8829.5212,0.0128,1.4054,4.2353,332692,327792,1618
run-20260916t092432z-6976e1302de8,reading-note,False,ok,1789551208433055400,1789551215967221000,21.4531,163.4977,0.2369,7367.6522,0.0106,0.0247,2.9142,688,0,0
run-20260916t092432z-6976e1302de8,reading-decide,False,ok,1789551240877494600,1789551246989843600,23.7883,77.9961,0.267,6030.2663,0.0154,0.0429,3.1429,603,0,0
run-20260916t092432z-6976e1302de8,reading-handoff,False,partial,1789551308548746200,1789551314575736000,24.5423,73.5038,0.289,5950.1496,0.0121,0.0443,3.0948,2753,0,1901
run-20260916t092432z-6976e1302de8,reading-handoff,True,partial,1789551374731749600,1789551386426328700,20.6989,75.9005,0.3553,11602.0569,0.0213,0.0394,1.918,2753,0,1901
