seq,key,requested,used_before,used_after,held_before,remaining_before,limit,success,site
1,read_bytes,4291,0,4291,0,33554432,33554432,True,reading.py:180:dispatch > reading.py:672:dispatch > api.py:29:dispatch
2,read_bytes,3811,4291,8102,0,33550141,33554432,True,query_plan.py:60:dictionary > query_plan.py:127:build > reading.py:385:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
4,output_chars,1380,0,1380,0,100000,100000,True,query_plan.py:24:charge_diagnostics > reading.py:386:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
5,read_bytes,155,8102,8257,0,33546330,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > coordinator.py:524:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
6,read_bytes,19815,8257,28072,0,33546175,33554432,True,reader.py:42:read_json > reader.py:62:head_manifest > coordinator.py:524:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
7,output_chars,0,1380,1380,0,98620,100000,True,coordinator.py:374:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
8,read_bytes,155,28072,28227,0,33526360,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > coordinator.py:524:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
9,read_bytes,19815,28227,48042,0,33526205,33554432,True,reader.py:42:read_json > reader.py:62:head_manifest > coordinator.py:524:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
10,candidates,1,0,1,0,2000,2000,True,coordinator.py:603:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
11,read_bytes,155,48042,48197,0,33506390,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:167:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
12,read_bytes,13136,48197,61333,0,33506235,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:167:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
13,read_bytes,155,61333,61488,0,33493099,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:170:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
14,read_bytes,155,61488,61643,0,33492944,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:175:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
15,read_bytes,155,61643,61798,0,33492789,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
16,read_bytes,8540,61798,70338,0,33492634,33554432,True,reader.py:42:read_json > reader.py:78:read_record > reader.py:216:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
17,read_bytes,155,70338,70493,0,33484094,33554432,True,reader.py:42:read_json > reader.py:59:head_manifest > reader.py:68:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
18,read_bytes,16397,70493,86890,0,33483939,33554432,True,reader.py:42:read_json > reader.py:80:read_record > reader.py:217:authorize_sources > reader.py:177:record > coordinator.py:604:_read_search > coordinator.py:575:_recall > coordinator.py:362:_run_search > reading.py:400:recall > reading.py:194:dispatch > reading.py:672:dispatch > api.py:29:dispatch
